"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","GDEXPRD","TOT","PC_GDP","A","2017",3.15743071280749,
"BEL","GDEXPRD","TOT","PC_GDP","A","2017",2.70233836436314,
"CAN","GDEXPRD","TOT","PC_GDP","A","2017",1.58803982987689,
"CAN","GDEXPRD","TOT","PC_GDP","A","2018",1.55277389850933,
"CZE","GDEXPRD","TOT","PC_GDP","A","2017",1.79079142795452,
"DNK","GDEXPRD","TOT","PC_GDP","A","2017",3.04600363533353,
"FIN","GDEXPRD","TOT","PC_GDP","A","2017",2.7572668965394,
"FRA","GDEXPRD","TOT","PC_GDP","A","2017",2.18547377566542,
"DEU","GDEXPRD","TOT","PC_GDP","A","2017",3.03763468116888,
"GRC","GDEXPRD","TOT","PC_GDP","A","2017",1.13109377848735,
"HUN","GDEXPRD","TOT","PC_GDP","A","2017",1.34860239631663,
"ISL","GDEXPRD","TOT","PC_GDP","A","2017",2.10413347384689,
"ITA","GDEXPRD","TOT","PC_GDP","A","2017",1.35206061891945,
"JPN","GDEXPRD","TOT","PC_GDP","A","2017",3.21254035106643,
"KOR","GDEXPRD","TOT","PC_GDP","A","2017",4.55323946333385,
"LUX","GDEXPRD","TOT","PC_GDP","A","2017",1.2560720168692,
"NLD","GDEXPRD","TOT","PC_GDP","A","2017",1.99111862456719,
"NZL","GDEXPRD","TOT","PC_GDP","A","2017",1.36570242136865,
"NOR","GDEXPRD","TOT","PC_GDP","A","2017",2.09343120572055,
"POL","GDEXPRD","TOT","PC_GDP","A","2017",1.03445207744981,
"PRT","GDEXPRD","TOT","PC_GDP","A","2017",1.32832511357834,
"PRT","GDEXPRD","TOT","PC_GDP","A","2018",1.36552319702261,
"SVK","GDEXPRD","TOT","PC_GDP","A","2017",0.88267211013053,
"ESP","GDEXPRD","TOT","PC_GDP","A","2017",1.2057973933375,
"SWE","GDEXPRD","TOT","PC_GDP","A","2017",3.39676070300009,
"SWE","GDEXPRD","TOT","PC_GDP","A","2018",3.33937179282955,
"CHE","GDEXPRD","TOT","PC_GDP","A","2017",3.37286257406061,
"TUR","GDEXPRD","TOT","PC_GDP","A","2017",0.96105343000978,
"GBR","GDEXPRD","TOT","PC_GDP","A","2017",1.6638133047493,
"USA","GDEXPRD","TOT","PC_GDP","A","2017",2.78798057663089,
"ARG","GDEXPRD","TOT","PC_GDP","A","2017",0.54151901216975,
"CHL","GDEXPRD","TOT","PC_GDP","A","2017",0.35518189291334,
"CHN","GDEXPRD","TOT","PC_GDP","A","2017",2.14511571733465,
"EST","GDEXPRD","TOT","PC_GDP","A","2017",1.28866639669828,
"ISR","GDEXPRD","TOT","PC_GDP","A","2017",4.54473721140171,
"ROU","GDEXPRD","TOT","PC_GDP","A","2017",0.5039048629983,
"RUS","GDEXPRD","TOT","PC_GDP","A","2017",1.10617668882191,
"SGP","GDEXPRD","TOT","PC_GDP","A","2017",1.95425098079703,
"SVN","GDEXPRD","TOT","PC_GDP","A","2017",1.86311482099175,
"TWN","GDEXPRD","TOT","PC_GDP","A","2017",3.29525677255477,
"EU28","GDEXPRD","TOT","PC_GDP","A","2017",1.97358095184705,
"OECD","GDEXPRD","TOT","PC_GDP","A","2017",2.37221099584801,
"LVA","GDEXPRD","TOT","PC_GDP","A","2017",0.51011620735739,
"LTU","GDEXPRD","TOT","PC_GDP","A","2017",0.89807664953289,
